g1,g2,ccted,iteration,gted,edit_distance,gted_time,ccted_time
simulated303,simulated303,0.0,1,0.0,0,1.0645360946655273,0.9833769798278809
simulated303,simulated490,29.0,4,29.0,56,30.11028790473938,8.320872068405151
simulated303,simulated279,28.0,2,28.0,49,18.061379194259644,9.4618239402771
simulated303,simulated207,30.0,2,30.0,57,13.287632703781128,6.542000770568848
simulated303,simulated393,31.0,4,31.0,58,30.63778805732727,8.337893009185791
simulated303,simulated191,28.0,9,28.0,45,70.45161247253418,6.260133504867554
simulated303,simulated167,32.0,2,32.0,63,37.19617486000061,18.312537908554077
simulated303,simulated141,30.0,10,30.0,63,78.63022708892822,5.39499568939209
simulated303,simulated287,28.0,3,28.0,48,30.375351190567017,10.804725170135498
simulated303,simulated280,29.0,27,29.0,62,186.17458629608154,5.356097936630249
simulated303,simulated333,34.0,1,34.0,66,11.564905881881714,11.4871244430542
simulated303,simulated305,28.0,13,28.0,49,127.02716159820557,8.530102491378784
simulated303,simulated187,30.0,4,30.0,52,30.593080520629883,8.526809930801392
simulated303,simulated25,35.0,5,35.0,75,45.44222927093506,7.13652777671814
simulated303,simulated256,29.0,6,29.0,49,72.64779281616211,11.67344880104065
simulated303,simulated460,31.0,4,31.0,59,40.067811250686646,12.969295263290405
simulated303,simulated296,29.0,5,29.0,49,37.99635910987854,8.437813997268677
simulated303,simulated330,34.0,4,34.0,63,28.434889554977417,5.972613573074341
simulated303,simulated262,32.0,4,32.0,60,53.439019441604614,10.397012710571289
simulated490,simulated490,0.0,1,0.0,0,1.0660204887390137,0.9875586032867432
simulated490,simulated279,26.999999798541307,3,27.0,51,18.77473783493042,5.360985517501831
simulated490,simulated207,28.0,4,28.0,40,31.223822832107544,8.586843729019165
simulated490,simulated393,29.0,2,29.0,41,27.822782516479492,13.710974931716919
simulated490,simulated191,31.0,10,31.0,55,153.549418926239,9.351217985153198
simulated490,simulated167,32.0,10,32.0,65,83.87336730957031,9.98336672782898
simulated490,simulated141,30.0,3,30.0,58,24.438347339630127,8.962963581085205
simulated490,simulated287,27.0,14,27.0,51,99.40705251693726,2.437868356704712
simulated490,simulated280,34.0,7,34.0,69,47.375072717666626,7.002960443496704
simulated490,simulated333,33.0,12,33.0,64,125.15260791778564,10.280992984771729
simulated490,simulated305,28.0,4,29.0,51,27.93520474433899,6.361695289611816
simulated490,simulated187,30.0,14,30.0,59,74.97441387176514,6.018884897232056
simulated490,simulated25,34.0,2,34.0,71,14.668594121932983,6.313824892044067
simulated490,simulated256,29.0,4,29.0,55,60.92628312110901,15.390803813934326
simulated490,simulated460,29.0,35,29.0,42,359.55019545555115,8.518742084503174
simulated490,simulated296,28.0,2,28.0,53,14.54250979423523,7.169342041015625
simulated490,simulated330,33.0,27,33.0,66,299.9683711528778,9.142749547958374
simulated490,simulated262,29.0,2,29.0,53,13.181409358978271,6.786400079727173
simulated279,simulated279,0.0,1,0.0,0,0.9708309173583984,0.8938884735107422
simulated279,simulated207,30.0,12,30.0,58,214.4369399547577,13.80194616317749
simulated279,simulated393,30.0,8,30.0,59,53.91897702217102,6.784654140472412
simulated279,simulated191,30.0,6,30.0,46,85.68109655380249,12.035078763961792
simulated279,simulated167,32.0,6,33.0,66,27.961092948913574,2.713918447494507
simulated279,simulated141,28.0,6,28.0,51,38.11949944496155,5.256288051605225
simulated279,simulated287,1.0,2,1.0,1,1.763171672821045,1.015669822692871
simulated279,simulated280,32.0,4,32.0,65,66.45233178138733,21.998805284500122
simulated279,simulated333,33.0,17,33.0,62,198.88056755065918,10.421833992004395
simulated279,simulated305,3.0,2,3.0,3,1.7129151821136475,1.0112950801849365
simulated279,simulated187,29.0,22,29.0,45,185.49574542045593,6.790022373199463
simulated279,simulated25,33.0,26,33.0,72,198.84550619125366,5.8370044231414795
simulated279,simulated256,20.0,1,20.0,25,1.9120769500732422,1.834651231765747
simulated279,simulated460,29.0,18,29.0,58,161.59507203102112,7.886422157287598
simulated279,simulated296,3.0,1,3.0,3,1.0823614597320557,1.004631519317627
simulated279,simulated330,32.0,1,32.0,60,27.03015971183777,26.948376178741455
simulated279,simulated262,31.0,2,31.0,49,32.80147743225098,12.363875150680542
simulated207,simulated207,0.0,1,0.0,0,0.9989373683929443,0.921928882598877
simulated207,simulated393,1.0,2,1.0,1,1.582026720046997,0.9499917030334473
simulated207,simulated191,29.0,23,29.0,59,175.06270670890808,6.045544385910034
simulated207,simulated167,33.0,1,33.0,63,8.948174238204956,8.870302438735962
simulated207,simulated141,32.0,7,32.0,67,52.03486633300781,5.785938739776611
simulated207,simulated287,29.0,18,30.0,57,241.44976449012756,5.0353662967681885
simulated207,simulated280,33.0,2,33.0,69,14.141899347305298,5.96403431892395
simulated207,simulated333,31.0,6,31.0,68,48.53501224517822,6.958284616470337
simulated207,simulated305,30.0,10,31.0,58,100.75403046607971,3.8534181118011475
